package,top_hook,top_score,top_emotion,total_candidates,all_hooks
output_test_visual_hook\Test_visual_hook_integration_20260623_114932,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_test_pkg2\Minecraft_betrayal_on_SMP_20260622_222014,Betrayal revealed,4,dramatic,6,"[{""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_test_pkg\Minecraft_betrayal_on_SMP_20260622_210510,Betrayal revealed,4,dramatic,6,"[{""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_test_pkg\Minecraft_betrayal_on_SMP_20260622_210715,Betrayal revealed,4,dramatic,6,"[{""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_test_integration\Test_hook_integration_20260623_113657,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_test_cfg\Minecraft_betrayal_on_SMP_20260623_075449,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_test2\Minecraft_betrayal_on_SMP_20260623_075011,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_test\Minecraft_betrayal_on_SMP_20260623_072233,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_full_run2\Minecraft_betrayal_on_SMP_-_polish_full__20260623_111959,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_full_run\Minecraft_betrayal_on_SMP_20260623_075813,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_full_downloads\Minecraft_betrayal_on_SMP_20260622_223039,Betrayal revealed,4,dramatic,6,"[{""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}]"
output_all_run\Minecraft_betrayal_on_SMP_20260623_070859,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
output\Minecraft_betrayal_on_SMP_20260622_181413,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
output\Minecraft_betrayal_on_SMP_20260622_183731,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
output\Test__Minecraft_betrayal_on_SMP_20260622_200913,His final choice,4,dramatic,6,"[{""hook"": ""His final choice"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Betrayal revealed"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Shocking moment"", ""score"": 4, ""emotion"": ""dramatic""}, {""hook"": ""Lost forever"", ""score"": 3.5, ""emotion"": ""dramatic""}, {""hook"": ""One impossible choice"", ""score"": 2, ""emotion"": ""dramatic""}, {""hook"": ""Nobody believed him"", ""score"": 2, ""emotion"": ""dramatic""}]"
